Training score,Validation score,Testing score,Task,Dataset,Network,Method,p,q,gamma
1.2923032261747105,0.8590904295981673,0.22258583247217048,DOID:0050534,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.5781778781151934,0.20014965260417472,-0.2929575238273786,DOID:0050565,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.233818393696115,0.0920757335255766,2.033106071978177,DOID:0050567,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.9234143217969258,0.5253856022600216,0.17384723484455036,DOID:0050700,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.2790422842573643,0.4086070183303897,-0.014218992686999655,DOID:0050888,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.8250224404017612,-0.01031136626022876,-0.12220018475713408,DOID:0050889,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.9017183540128402,0.4472863385674206,1.0125293134773343,DOID:0060260,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.0667190936216588,-0.20894755344902136,1.5467281137590707,DOID:0060262,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.075735040000965,0.5767440841663363,0.8445479533248794,DOID:10124,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.7782992185930705,0.6974627520178552,0.03696540062075115,DOID:10126,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.422116822546671,0.17281095603626273,0.2623902261437432,DOID:10141,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.9986358003746142,0.1631847832145796,0.10237045947153513,DOID:10155,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.500512201168915,3.1743878893478303,0.6553031848252987,DOID:1037,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.6295644685176014,0.3607429892879494,-0.1306033813956309,DOID:10584,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.6685634057605268,0.5458334551845107,1.068359008185586,DOID:10629,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.897248214679069,1.0912752934544332,0.0030330594665160496,DOID:1074,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.819044845947048,0.282068733899163,-0.06093783679788519,DOID:10763,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.894084891832415,1.657755667829083,0.7584727959988198,DOID:10952,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.698511572289009,0.3178293519191464,0.47167125113647174,DOID:110,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.5163450572636126,0.321755451333833,0.9627872041601755,DOID:1100,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.1827490239763538,0.15247113586124733,0.5216422572897111,DOID:11383,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.062771215266171,1.0560947406960235,0.1976583835081451,DOID:11612,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.3404014540989488,0.11078593692135405,0.49686677317258443,DOID:11836,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.3475333349583005,0.6720836356357216,1.9623021997179175,DOID:120,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.2778504333403817,2.089393400673822,1.0689089817723838,DOID:1205,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.614357131013759,0.07547999946982716,0.8874557002262995,DOID:12336,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.7660094836287237,0.7167445977183691,0.5907548720752355,DOID:1247,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.6810137947150763,0.1347432943539549,0.18496477597533872,DOID:1279,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
1.3523621763092764,1.6311847820291854,0.8044384200485581,DOID:12798,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
0.8781383059346741,0.5087239398066726,0.21331242570407366,DOID:12849,DisGeNet,HumanBase-global,Node2vec++,0.01,0.01,0.0
