Training score,Testing score,Task,Network,Method,q
0.9736263736263737,0.8986251239681083,cluster,K3L2c1,Node2vec+,0.01
0.9472527472527473,0.8532957832912617,cluster,K3L2c1,Node2vec+,0.01
0.9736263736263737,0.8774416589457972,cluster,K3L2c1,Node2vec+,0.01
0.9736263736263737,0.8630816384271599,cluster,K3L2c1,Node2vec+,0.01
0.9736263736263737,0.8757881462799497,cluster,K3L2c1,Node2vec+,0.01
0.9472527472527473,0.8798901384678618,cluster,K3L2c1,Node2vec+,0.01
0.9736263736263737,0.879910140279635,cluster,K3L2c1,Node2vec+,0.01
0.9736263736263737,0.8793384525807564,cluster,K3L2c1,Node2vec+,0.01
0.9736263736263737,0.882487774378428,cluster,K3L2c1,Node2vec+,0.01
0.915934065934066,0.8777079957108083,cluster,K3L2c1,Node2vec+,0.01
0.4435897435897436,0.4253330690658687,level,K3L2c1,Node2vec+,0.01
0.4523809523809524,0.36585338957351204,level,K3L2c1,Node2vec+,0.01
0.5523809523809523,0.3916150936214602,level,K3L2c1,Node2vec+,0.01
0.4435897435897436,0.3859057971014493,level,K3L2c1,Node2vec+,0.01
0.5479166666666666,0.3714703332780022,level,K3L2c1,Node2vec+,0.01
0.6175953079178886,0.4424661695664181,level,K3L2c1,Node2vec+,0.01
0.2857142857142857,0.3223742840939543,level,K3L2c1,Node2vec+,0.01
0.5479166666666666,0.31356225473872534,level,K3L2c1,Node2vec+,0.01
0.4523809523809524,0.48428518103770063,level,K3L2c1,Node2vec+,0.01
0.5479166666666666,0.41608450609159325,level,K3L2c1,Node2vec+,0.01
0.9472527472527473,0.8718750739809553,cluster,K3L2c1,Node2vec+,0.05
0.9736263736263737,0.8876866411111874,cluster,K3L2c1,Node2vec+,0.05
0.9736263736263737,0.9120172930517758,cluster,K3L2c1,Node2vec+,0.05
1.0,0.922944364680673,cluster,K3L2c1,Node2vec+,0.05
1.0,0.9588243578623943,cluster,K3L2c1,Node2vec+,0.05
1.0,0.9200195757752585,cluster,K3L2c1,Node2vec+,0.05
0.9736263736263736,0.917509277404226,cluster,K3L2c1,Node2vec+,0.05
0.9736263736263737,0.9210922519817951,cluster,K3L2c1,Node2vec+,0.05
0.9472527472527473,0.9497462716155655,cluster,K3L2c1,Node2vec+,0.05
0.9736263736263737,0.9288014241397702,cluster,K3L2c1,Node2vec+,0.05
0.4523809523809524,0.3508771929824561,level,K3L2c1,Node2vec+,0.05
0.5523809523809523,0.42709855872173436,level,K3L2c1,Node2vec+,0.05
0.4523809523809524,0.3513766842413591,level,K3L2c1,Node2vec+,0.05
0.34358974358974365,0.3691485675304838,level,K3L2c1,Node2vec+,0.05
0.512987012987013,0.4232073967429139,level,K3L2c1,Node2vec+,0.05
0.6175953079178886,0.36973428996478547,level,K3L2c1,Node2vec+,0.05
0.2727272727272727,0.30558825375898546,level,K3L2c1,Node2vec+,0.05
0.2727272727272727,0.34549627079747564,level,K3L2c1,Node2vec+,0.05
0.4479166666666667,0.41323445903063094,level,K3L2c1,Node2vec+,0.05
0.3412698412698412,0.3115537511629874,level,K3L2c1,Node2vec+,0.05
0.9736263736263737,0.8649090396882696,cluster,K3L2c1,Node2vec+,0.1
0.9736263736263737,0.9281089490174056,cluster,K3L2c1,Node2vec+,0.1
0.9736263736263737,0.9485961254206655,cluster,K3L2c1,Node2vec+,0.1
1.0,0.9381543207316464,cluster,K3L2c1,Node2vec+,0.1
0.9736263736263737,0.9202496221658473,cluster,K3L2c1,Node2vec+,0.1
1.0,0.9334496994918702,cluster,K3L2c1,Node2vec+,0.1
1.0,0.9287653575513952,cluster,K3L2c1,Node2vec+,0.1
0.9736263736263737,0.951734568279003,cluster,K3L2c1,Node2vec+,0.1
0.9736263736263736,0.9155048058994115,cluster,K3L2c1,Node2vec+,0.1
1.0,0.9531109362506822,cluster,K3L2c1,Node2vec+,0.1
0.4479166666666667,0.3347199631063,level,K3L2c1,Node2vec+,0.1
0.6782013685239492,0.38947016546882834,level,K3L2c1,Node2vec+,0.1
0.5523809523809523,0.4178235231900153,level,K3L2c1,Node2vec+,0.1
0.3968253968253968,0.353479711449783,level,K3L2c1,Node2vec+,0.1
0.4479166666666667,0.46293498168498165,level,K3L2c1,Node2vec+,0.1
0.5145833333333333,0.3241445042844188,level,K3L2c1,Node2vec+,0.1
0.4435897435897436,0.41519324049444534,level,K3L2c1,Node2vec+,0.1
0.2727272727272727,0.28840579710144926,level,K3L2c1,Node2vec+,0.1
0.512987012987013,0.37655011655011655,level,K3L2c1,Node2vec+,0.1
0.2857142857142857,0.3175061321153684,level,K3L2c1,Node2vec+,0.1
0.9736263736263737,0.849385130258564,cluster,K3L2c1,Node2vec+,0.5
