Training score,Validation score,Testing score,Task,Dataset,Network,Method,p,q,gamma
0.9274402728017364,-0.1707855556247412,0.37917355381907397,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
2.0330401208610094,-0.0787385250171014,-0.3707931853088678,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.043451973680864,1.2685010693055505,1.0298455082437592,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.6216870560685402,0.48932029282566425,0.2520090052253198,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.5740658261564828,1.5409694966326062,0.1478558382399011,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.6225579994290706,1.1360105543779178,-0.08747802125548383,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.5276717149333406,-0.32089153646614926,0.1105707219369443,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.5889889669589651,-0.2726957052612841,1.0555385070107421,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.4633189681996288,0.5768793208909362,0.08300943791361365,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.9001071737770115,-0.21561440097724166,0.7004616449491881,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.7389151234414688,0.11089804871958506,0.6008738740253599,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.5312453649443621,0.9831135499700674,0.12272350760310369,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.540031380260459,0.010394551480466531,0.34913824624910034,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.3984783335998586,-0.32837781653406134,1.0914301375559794,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.822919504859751,0.12463816044683859,0.9507119185132347,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.166973418438343,0.11975884403635628,0.12111282587235042,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.5874636427325056,0.8515546579499944,1.0358281769670261,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.5679983966921647,1.3134527675400256,0.14942173798653124,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.6552800922702795,-0.14822264366809412,0.3559323002801334,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.8942720013194705,-0.024765823954088655,0.2176954324259567,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.8593198006959691,1.7151113591459157,1.1551627900338617,muscle_GO:0006937,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.1301198200177873,0.13503783104618955,0.5588304181156343,muscle_GO:0016202,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.1301198200177873,0.13503783104618955,0.5588304181156343,muscle_GO:0048634,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.1784739902948491,0.7334349242691505,2.008621199778212,muscle_GO:0051147,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
1.1291796758452852,0.2007459496833723,1.0881354256373472,muscle_GO:0090257,GOBP-tissue,GTExCoExp-blood,Node2vec,0.01,0.01,0
0.6107007096555027,-0.20564347184610635,0.2316265645267078,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
1.965109629735742,-0.388517221170884,-0.29081997135713006,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.8628598206372118,0.5678595664952524,0.5910898034333343,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.7176725294396518,0.19442448346295227,0.6188463564495608,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
0.508414876443201,0.6757347587836742,0.05936430030300713,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec,0.1,0.01,0
