Training score,Validation score,Testing score,Task,Dataset,Network,Method,p,q,gamma
0.5434596492733281,0.41604755624418666,0.15521490712133587,blood_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.8534309219062557,0.8834476688158217,0.9700269735518252,blood_GO:0001568,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
1.62660062274745,0.2577044916164454,0.3683724810618477,blood_GO:0007596,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.929213428074198,0.5361186666532816,1.1621655093998715,blood_GO:0030098,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.6880046502994291,0.5825561156858847,0.6982136042474096,blood_GO:0030099,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.616538607220285,-0.04929422104508481,2.1674295503728334,blood_GO:0030168,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.5638977310522404,0.4670358202032254,1.4916275569165338,blood_GO:0045637,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.9692216177365702,0.4189924492082871,0.9975894333636356,blood_GO:0045638,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.7368251949756723,1.0046645542298283,3.216463357355882,blood_GO:0045639,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.5835684845762579,1.3617042902594823,1.7641780879113456,blood_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.7651736695080756,1.9966137095501366,1.8128383888376476,blood_GO:0045766,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.7179853995079313,0.7540064438953419,1.4184340220831178,blood_GO:0070486,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.7801640382440578,0.5965238967381945,0.19838331311912055,blood_vessel_GO:0001525,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.5548068621959052,-0.04227085947520484,1.8493974209624024,blood_vessel_GO:0045765,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.6612851094639087,0.5580765758483075,0.7161149625445496,brain_GO:0007420,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.7236547774865917,0.300697889038814,0.41148827183086745,heart_GO:0007507,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
1.3003855388561365,1.3843738687540639,1.0049951538525566,heart_GO:0008016,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
1.6846156749087882,0.522677786520582,0.5500585924584396,kidney_GO:0001822,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
0.9317824098674161,0.5018580371747952,0.07635306727646084,muscle_GO:0003012,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
1.174529571853789,0.754696760446105,0.25988350199501,muscle_GO:0006936,GOBP-tissue,GTExCoExp-blood,Node2vec+,0.01,0.01,1.0
